Period,Area,Mission,Category,Indicator,Observation
government-year/2018-2019,E08000034,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,8490
government-year/2019-2020,E08000034,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,7600
government-year/2020-2021,E08000034,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,6990
government-year/2018-2019,E08000035,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,18840
government-year/2019-2020,E08000035,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,14930
government-year/2020-2021,E08000035,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,15320
government-year/2018-2019,E08000036,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,7060
government-year/2019-2020,E08000036,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,5770
government-year/2020-2021,E08000036,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,5490
government-year/2018-2019,E06000015,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,6790
government-year/2019-2020,E06000015,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,5740
government-year/2020-2021,E06000015,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,5610
government-year/2018-2019,E06000016,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,10290
government-year/2019-2020,E06000016,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,8390
government-year/2020-2021,E06000016,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,6870
government-year/2018-2019,E06000018,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,9500
government-year/2019-2020,E06000018,Mission 6: increasing high-quality skills training in every area in the UK.,Spreading opportunity and improving public services,Aged 19 years and over further education and skills learner achievements,7300
