Label,Notation,Parent Notation,Sort Priority,Description
Other art events or festivals,other-art-events-or-festivals,,314,
Other ethnic group - Any other ethnic group,other-ethnic-group-any-other-ethnic-group,,315,
Other ethnic group - Arab,other-ethnic-group-arab,,316,
Other ethnic group - Total,other-ethnic-group-total,,317,
Others that I don't know can capture and use the data I post online,others-that-i-don-t-know-can-capture-and-use-the-data-i-post-online,,318,
Outer London - East and North East,outer-london-east-and-north-east,,319,
Outer London - South,outer-london-south,,320,
Outer London - West and North West,outer-london-west-and-north-west,,321,
Owners,owners,,322,
Part of a metal-detecting club,part-of-a-metal-detecting-club,,323,
Pass onto family or friend,pass-onto-family-or-friend,,324,
Pay a monthly or annual subscription,pay-a-monthly-or-annual-subscription,,325,
Pay a one-time fee,pay-a-one-time-fee,,326,
"Post content such as messages, photographs or videos on social media (such as Facebook, Instagram, Snapchat)",post-content-such-as-messages-photographs-or-videos-on-social-media-such-as-facebook-instagram-snapchat,,327,
"Pre-recorded arts event including theatre, visual arts or literature",pre-recorded-arts-event-including-theatre-visual-arts-or-literature,,328,
Pre-recorded music or dance event,pre-recorded-music-or-dance-event,,329,
Prefer not to say,prefer-not-to-say,,330,
Private rented sector,private-rented-sector,,331,
Provided personal information such as my passport number online as identification,provided-personal-information-such-as-my-passport-number-online-as-identification,,332,
Quite often,quite-often,,333,
"Read an e-book or e-magazine (for example, on a Kindle)",read-an-e-book-or-e-magazine-for-example-on-a-kindle,,334,
"Recognise what information or content may, or may not, be trustworthy on websites or apps",recognise-what-information-or-content-may-or-may-not-be-trustworthy-on-websites-or-apps,,335,
Recycle (such as using a local E-waste recycling centre),recycle-such-as-using-a-local-e-waste-recycling-centre,,336,
Reserved or renewed books or paid a fine,reserved-or-renewed-books-or-paid-a-fine,,337,
Respond to legitimate requests for authentication for my online accounts or email,respond-to-legitimate-requests-for-authentication-for-my-online-accounts-or-email,,338,
Return to the company or producer to be recycled,return-to-the-company-or-producer-to-be-recycled,,339,
Rising Prosperity,rising-prosperity,,340,
Rugby,rugby,,341,
Rural,rural,,342,
Rural coastline or coastal village,rural-coastline-or-coastal-village,,343,
Save passwords in my browser,save-passwords-in-my-browser,,344,
Science,science,,345,
Searched online catalogues or dictionaries or made an enquiry,searched-online-catalogues-or-dictionaries-or-made-an-enquiry,,346,
Second hand or charity shop,second-hand-or-charity-shop,,347,
Self-describe,self-describe,,348,
Sell at a secondhand shop,sell-at-a-secondhand-shop,,349,
"Sell online (such as eBay, Facebook, Music Magpie)",sell-online-such-as-ebay-facebook-music-magpie,,350,
Semi-routine and routine occupations,semi-routine-and-routine-occupations,,351,
Set automatic updates for my computer operating system and security software,set-automatic-updates-for-my-computer-operating-system-and-security-software,,352,
Several times a day,several-times-a-day,,353,
Several times a week,several-times-a-week,,354,
Shared a photo of your documents (such as a passport or qualification),shared-a-photo-of-your-documents-such-as-a-passport-or-qualification,,355,
"Showed documents to someone through a webcam (for example, Zoom, MS Teams)",showed-documents-to-someone-through-a-webcam-for-example-zoom-ms-teams,,356,
Shropshire and Staffordshire,shropshire-and-staffordshire,,357,
Sikh,sikh,,358,
Small employers and own account workers,small-employers-and-own-account-workers,,359,
Smart TV,smart-tv,,360,
Smart TVl,smart-tvl,,361,
"Smart energy device (smart meter, bulb or plug) or thermostat",smart-energy-device-smart-meter-bulb-or-plug-or-thermostat,,362,
"Smart home security (such as internet-connected or smartphone controlled security, smart door lock)",smart-home-security-such-as-internet-connected-or-smartphone-controlled-security-smart-door-lock,,363,
Smart kitchen appliance (such as a smart fridge),smart-kitchen-appliance-such-as-a-smart-fridge,,364,
Smart toy or baby monitor for children,smart-toy-or-baby-monitor-for-children,,365,
Smartphone,smartphone,,366,
Smartphonel,smartphonel,,367,
"Smartwatch (such as Apple Watch, Samsung Galaxy Gear)",smartwatch-such-as-apple-watch-samsung-galaxy-gear,,368,
Snooker,snooker,,369,
Social rented sector,social-rented-sector,,370,
Software should be used to prevent viruses,software-should-be-used-to-prevent-viruses,,371,
Some of the time,some-of-the-time,,372,
Some other form of help or training (type in) *Open,some-other-form-of-help-or-training-type-in-open,,373,
Some other heritage site,some-other-heritage-site,,374,
Some other heritage site or historic place (Please type in),some-other-heritage-site-or-historic-place-please-type-in,,375,
Some other reason,some-other-reason,,376,
Some other reason (type in),some-other-reason-type-in,,377,
Some other smart device for the home,some-other-smart-device-for-the-home,,378,
Some other type of sport,some-other-type-of-sport,,379,
Sometimes,sometimes,,380,
Somewhat dissatisfied,somewhat-dissatisfied,,381,
Somewhat satisfied,somewhat-satisfied,,382,
Somewhere else,somewhere-else,,383,
Sought information related to your or someone else’s health,sought-information-related-to-your-or-someone-else-s-health,,384,
South East,south-east,,385,
